old_target,target,step_cps,rise_time_s,peak_time_s,overshoot_cps,overshoot_percent,settling_time_s,settling_band_cps,steady_mean_cps,steady_mean_error_cps,steady_mae_cps,steady_rmse_cps,steady_error_std_cps,steady_speed_std_cps,steady_mean_pwm,steady_pwm_std,steady_mean_abs_pid,peak_abs_pid,saturation_fraction,kp,filename,segment,samples
0.0,2000.0,2000.0,0.03166666666666667,0.05,299.99999999999983,14.999999999999991,2.39,150.0,2020.6666666666667,-20.666666666666668,39.333333333333336,63.77042156569664,60.32872910608639,60.3287291060864,62.72466136333334,3.011669751628431,1.9666666666666666,30.0,0.0,0.05,right_kp_0.05.txt,0,299
2000.0,4000.0,2000.0,0.035333333333333335,0.06,399.9999999999999,19.999999999999996,2.18,150.0,4011.3333333333335,-11.333333333333334,36.666666666666664,61.644140029689765,60.593362306077346,60.593362306077346,73.57607933333335,3.029668115303868,1.8333333333333333,30.0,0.013377926421404682,0.05,right_kp_0.05.txt,1,299
4000.0,6000.0,2000.0,0.0375,0.06,100.00000000000009,5.000000000000004,0.05,150.0,6004.0,-4.0,32.0,56.568542494923804,56.42694391866354,56.42694391866354,84.32912139999999,2.821347195933177,1.6,30.0,0.016722408026755852,0.05,right_kp_0.05.txt,2,299
0.0,-2000.0,-2000.0,0.028333333333333335,0.05,299.99999999999983,14.999999999999991,2.95,150.0,-2030.0,30.0,50.0,72.5718035235908,66.0807586719967,66.0807586719967,-62.093718504000016,3.258884271738639,2.5,30.0,0.0,0.05,right_kp_0.05.txt,4,299
-2000.0,-4000.0,-2000.0,0.03,0.06,299.99999999999983,14.999999999999991,1.79,150.0,-4010.6666666666665,10.666666666666666,29.333333333333332,55.37749241945383,54.34049032617289,54.34049032617288,-73.12609046666665,2.7170245163086437,1.4666666666666666,30.0,0.013377926421404682,0.05,right_kp_0.05.txt,5,299
-4000.0,-6000.0,-2000.0,0.04,0.06,200.00000000000017,10.000000000000009,2.48,150.0,-6010.0,10.0,36.666666666666664,61.644140029689765,60.8276253029822,60.8276253029822,-83.24413300000002,3.0413812651491097,1.8333333333333333,30.0,0.016722408026755852,0.05,right_kp_0.05.txt,6,299
0.0,2000.0,2000.0,0.03333333333333333,0.05,399.9999999999999,19.999999999999996,2.69,150.0,2029.3333333333333,-29.333333333333332,46.666666666666664,69.2820323027551,62.76587891167904,62.76587891167904,62.01132803,3.729531500530789,2.8,30.0,0.0,0.06,right_kp_0.06.txt,0,299
2000.0,4000.0,2000.0,0.0345,0.06,299.99999999999983,14.999999999999991,2.37,150.0,4024.6666666666665,-24.666666666666668,51.333333333333336,74.38637868140465,70.17755259973725,70.17755259973725,72.66274600000001,4.210653155984235,3.08,30.0,0.013377926421404682,0.06,right_kp_0.06.txt,1,299
4000.0,6000.0,2000.0,0.0375,0.07,200.00000000000017,10.000000000000009,0.08,150.0,6011.333333333333,-11.333333333333334,31.333333333333332,55.97618541248889,54.81686682845791,54.81686682845791,83.84912139999999,3.2890120097074744,1.88,30.0,0.016722408026755852,0.06,right_kp_0.06.txt,2,299
0.0,-2000.0,-2000.0,0.03333333333333333,0.06,500.0,25.0,2.54,150.0,-2034.6666666666667,34.666666666666664,53.333333333333336,74.83314773547883,66.31909394904473,66.31909394904474,-61.54038517066668,3.8835353045776517,3.2,30.0,0.0,0.06,right_kp_0.06.txt,4,299
-2000.0,-4000.0,-2000.0,0.03300000000000001,0.05,200.00000000000017,10.000000000000009,1.98,150.0,-4020.0,20.0,40.0,65.31972647421809,62.1825270205921,62.1825270205921,-72.4594238,3.730951621235526,2.4,30.0,0.013377926421404682,0.06,right_kp_0.06.txt,5,299
-4000.0,-6000.0,-2000.0,0.04,0.06,200.00000000000017,10.000000000000009,2.72,150.0,-6013.333333333333,13.333333333333334,37.333333333333336,62.1825270205921,60.73622386096199,60.73622386096199,-82.94413300000002,3.64417343165772,2.24,30.0,0.013377926421404682,0.06,right_kp_0.06.txt,6,299
